"CTN100","Éléments de gestion de projets de construction","J","","JS","J",""
"CTN103","Éléments de construction de bâtimen","J","","JS","J",""
"CTN104","Éléments de matériaux de construction","J","","J","J",""
"CTN200","Planification et contrôle de projets de constructio","JS","JS","J","JS","JS"
"CTN258","Statique et dynamique","JS","J","JS","JS","J"
"CTN300","Estimation","JS","JS","JS","JS","JS"
"CTN308","Résistance des matériaux","J","JS","JS","J","JS"
"CTN326","Mécanique des fluides et thermodynamique","J","J","J","J","J"
"CTN404","Science et technologie des matériaux","JS","J","J","JS","J"
"CTN408","Analyse des structures","JS","JS","JS","JS","JS"
"CTN426","Hydraulique et hydrologie","JS","J","J","JS","J"
"CTN504","Mécanique des sols","J","J","J","J","J"
"CTN508","Structures de béton","JS","JS","JS","JS","JS"
"CTN600","Gestion des contrats de construction","JS","S","JS","JS","S"
"CTN626","Génie de l'environnement","JS","JS","JS","JS","JS"
"CTN701","Réalisation des projets de construction","S","","","S",""
"CTN702","Contrôle et performance des projets de construction","S","","S","S",""
"CTN703","Qualité dans la construction","J","","","J",""
"CTN705","Projets internationaux d'ingénierie de construction","J","J","J","J","J"
"CTN731","Enveloppe du bâtiment","JS","JS","JS","JS","JS"
"CTN732","Systèmes mécaniques du bâtiment","","S","J","","S"
"CTN733","Systèmes électriques du bâtiment","","","S","",""
"CTN734","Éléments de chauffage, ventilation et climatisation","J","","","J",""
"CTN735","Environnement et bâtiments durables","J","","J","J",""
"CTN736","Conception intégré de bâtiments durables","(INT)","","","(INT)",""
"CTN741","Fondations","J","","J","J",""
"CTN742","Construction lourde","S","","J","S",""
"CTN761","Hydraulique urbaine","","J","J","","J"
"COURS","","H19","E19","A19","H20","E20"
"CTN762","Ressources hydriques","S","S","S","S","S"
"CTN763","Services municipaux","","JS","","","JS"
"CTN764","Fondements des procédés et processus en génie de l'environnement","","","J","",""
"CTN765","Projets d'expérimentaitons en laboratoire","J","","","J",""
"CTN766","Impacts des projets sur l'environnement","","","J","",""
"CTN767","Conception en génie de l'environnement","","S","","","S"
"CTN768","Domaines émergents en génie de l'environnement","S","","","S",""
"CTN771","Construction et dimensionnement des chaussées","","","J","",""
"CTN772","Entretien, réhabilitation et gestion des routes","","J","","","J"
"CTN773","Tracés de routes","S","S","","S","S"
"CTN774","Aménagements routiers","","","J","",""
"CTN781","Structures en bois et fausses charpentes","","","J","",""
"CTN783","Charpentes d'acier","J","J","S","J","J"
"CTN784","Conception et analyse des ponts","J","","","J",""
"CTN785","Analyse et conception des structures","J","S","","J","S"
"CTN791","Projets spéciaux","J","J","J","J","J"
"CTN793","Projet de fin d'études en génie de la construction","J","J","J","J","J"
"CTN794","Projet international de fin d'études en génie de la construction","J","","J","J",""
"GIA500","Initiation aux projets internationaux d'ingénierie","","","S","",""
"J : JourS : SoirJS : Jour - SoirLes titres de cours sous fond grisé sont obligatoires dans le programme","","","","","",""
