"GPA141","Automates programmables","J","S","JS","J","S"
"AcGPA205","Conception de systèmes de production","J","J","J","J","J"
"AcGPA210","Éléments de fabrication mécanique","J","J","J","J","J"
"AcGPA220","Analyse des circuits électriques","J","","J","J",""
"AcGPA305","Éléments de résistance des matériaux","J","","J","J",""
"AcGPA325","Introduction à l'électronique","J","","J","J",""
"GPA430","Technique d'optimisation en production automatisée","S","J","J","S","J"
"GPA434","Système d'exploitation et programmation de systèmes(Ancien GPA 435 à partir d'hiver 2019)","J","S","J","J","S"
"GPA445","Conception assistée par ordinateur","S","J","J","S","J"
"GPA535","Systèmes asservis","J","S","J","J","S"
"GPA546","Robots industriels","J","J","S","J","J"
"GPA548","Gestion de la production","J","S","S","J",""
"GPA659","Vision artificielle","J","S","J","J","S"
"SyGPA662","Modélisation et simulation de systèmes de production","","","J","",""
"Sy,AéGPA664","Fabrication assistée par ordinateur","J","","J","J",""
"InGPA665","Structures de données et algorithmes","S","","","S",""
"InGPA667","Conception et simulation de circuits électroniques","","J","","","J"
"SyGPA668","Capteurs et actionneurs","","J","","J",""
"AéGPA725","Conception assistée par ordinateur de composants aéronautiques","J","","","J",""
"AéGPA730","Usinage, outillage et inspection pour l'aéronautique","","","","",""
"AéGPA735","Matériaux et procédés de fabrication pour l'aéronautique","","","","",""
"GPA741","Systèmes de commande des avions","","","S","",""
"AéGPA745","Introduction à l'avionique","","","S","",""
"AéGPA750","Ordonnancement des systèmes de production aéronautique","","","","",""
"GPA754","Cellules de production robotisée","S","J","J","J","J"
"GPA759","Réseaux de neurones et intelligence artificielle","","","J","",""
"GPA770","Micro-électronique appliquée","J","J","J","J","J"
"SyGPA772","Conception de machines","","","S","",""
"InGPA775","Base de données","","S","","","S"
"Sy,AéGPA776","Assurance de la qualité","J","","","S",""
"InGPA777","Introduction au génie logiciel","","","","",""
"SyGPA782","Hydraulique et pneumatique","J","","","S",""
"GPA783","Asservissement numérique en temps réel","J","S","J","J","S"
"SyGPA784","Systèmes flexibles de production","","","","",""
"InGPA785","Téléinformatique et réseaux","","","","",""
"COURS","","H19","E19","A19","H20","E20"
"SyGPA786","Rentabilité de projets d'automatisation","","S","","","S"
"InGPA787","Microsystèmes","J","","","J",""
"InGPA788","Analyse et conception orientées objet(Ancien GPA 789 à partir d'hiver 2019)","","","S","",""
"Sy,In,AéGPA791","Projets spéciaux","J","J","J","J","J"
"GPA793","Projet de fin d'études en génie de la production automatisée(ancien GPA790) à partir H08 et (ancien GPA792) à partir E17","J","J","J","J","J"
"GTS_ _ _","Pour la planification des cours de GTS (génie technologie de la santé) voir dans la section
CONCENTRATION EN TECHNOLOGIE DE LA SANTÉ","","","","",""
"J : JourS : SoirJS : Jour - SoirLes titres de cours sous fond grisé sont obligatoires dans le programme","","","","","",""
