sigle,name,session1,session2,session3,session4,session5
ELE747,Analyse et traitement d'images,J,J,,S,J
GPA659,Vision artificielle,J,S,J,J,J
GTI350,Conception et évaluation des interfaces utilisateurs,JS,J,JS,JS,J
GTI610,Réseaux de télécommunication(remplace LOG610 à partir E13),,,,,
GTI611,Réseaux de communication IP(remplace GTI610 à l'H18),S,J,J,S,J
GTI619,Sécurité des systèmes(remplace LOG619 à partir E13),JS,S,S,JS,S
GTI745,Interfaces utilisateurs avancées,J,J,,J,J
GTI770,Systèmes intelligents et apprentissage machine,J,J,J,J,J
GTI785,Systèmes d'applications mobiles(Commun avec GTI),,S,,,S
LOG100,Programmation et réseautique en génie logiciel,J,J,J,J,J
LOG121,Conception orientée objet(Commun avec GTI),J,J,JS,J,J
LOG210,Analyse et conception de logiciels(Commun avec GTI),JS,J,J,JS,J
LOG240,Tests et maintenance,J,J,J,J,J
LOG320,Structures de données et algorithmes,J,S,J,J,S
LOG330,Assurance de la qualité des logiciels,S,S,S,S,S
LOG410,Analyses de besoins et spécifications,J,J,JS,J,J
LOG430,Architecture logicielle(Commun avec GTI),J,J,J,J,J
LOG515,Gestion de projets en génie logiciel,S,S,JS,S,S
LOG530,Réingénierie du logiciel,J,,,J,
LOG540,Analyse et conception de logiciels de télécommunications,,,,,
LOG550,Conception de systèmes informatiques en temps réel,S,,,S,
LOG635,Systèmes intelligents et algorithmes,J,S,JS,J,S
LOG645,Architectures de calculs parallèles(Commun avec GTI - ancien LOG640),J,S,J,J,S
LOG660,Bases de données de haute performance,S,J,JS,S,J
LOG670,Langages formels et semi-formels,J,J,,J,J
LOG710,Principes de systèmes d'exploitation et programmation système(Commun avec GTI),S,,J,S,
LOG720,Architecture distribuée orientée objet,,,S,,
LOG725,Ingénierie et conception de jeux vidéo,J,J,,J,J
LOG735,Systèmes distribués(Commun avec GTI - ancien LOG730),,J,,,J
LOG750,Infographie,J,,S,J,
LOG791,Projets spéciaux en génie logiciel,J,J,J,J,J
LOG795,Projet de fin d'études en génie logiciel(ancien LOG792),J,J,J,J,J
